,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad,Ganpati,BLR,ACPL,Saswad
1) JNPT – NASIK – JNPT,23000,20700,17000,17800,24500,22500,23500,21300,26000,27000,25000,23500,100000,30600,28000,26000,25000,30600,26000,26500,30000,33300,28500,27000,32000,36000,32000,32000,100000,NA,35000,NA
2) JNPT –SINNER – JNPT,21000,20700,18500,21000,23000,22500,25000,24000,25000,27000,26500,28000,100000,30600,30000,32000,28000,30600,27500,28000,32000,33300,30000,31000,34000,36000,33500,34000,100000,NA,37000,38000
3) JNPT –MAHAD – JNPT,19000,NA,14500,18000,21000,NA,17000,21000,23000,NA,19500,25000,100000,NA,23000,28000,22000,NA,22500,26000,32000,NA,24000,29000,34000,NA,27000,32000,100000,NA,29800,NA
4) JNPT –KHOPOLI – JNPT,11000,10800,9000,15000,13000,13500,11500,17000,14500,15300,14500,19000,100000,16200,17000,22000,14000,NA,16000,16000,34500,18000,17000,18000,36500,20700,19500,24000,100000,NA,21500,NA
5) JNPT – BHIWANDI – JNPT,12000,12600,9000,13000,14000,13500,11000,15000,15000,14400,14000,17000,100000,15300,16500,20000,14000,NA,16500,17000,29500,20700,18000,21000,31000,23400,20300,23000,100000,NA,22500,NA
6) JNPT – THANE – JNPT,12000,12600,9000,12500,14000,13500,11000,14500,15000,14400,14000,17000,100000,15300,16500,20000,14000,NA,16500,17000,70000,NA,18000,22000,80000,NA,20300,25000,100000,NA,22500,NA
7) JNPT – TARAPUR – JNPT,18000,15300,15500,20000,19800,20700,18000,22000,21800,22500,21000,26000,100000,24300,25000,28000,20000,NA,21000,28000,39000,25200,23000,32500,42500,27900,25900,34500,100000,NA,28000,NA
8) JNPT – CHAKAN – JNPT,14000,15300,14500,17000,17500,18900,18000,19000,19500,21600,19500,21000,100000,24300,23000,26000,19500,22500,20500,21500,25500,23400,21900,23500,28500,25200,24000,27000,100000,NA,27000,NA
9) JNPT – TALEGAON – JNPT,14000,14400,13000,17000,17500,18000,16500,19000,19500,20700,17500,21000,100000,22500,22000,26000,19500,22500,19700,21500,29500,23400,20500,23500,31000,25200,22000,27000,100000,NA,23500,NA
10) JNPT – BHOSARI / CHINCHWAD / PIMPRI – JNPT,14000,14400,14500,17000,17500,18900,18000,19000,19500,20700,19500,21000,100000,24300,23000,26000,19500,23400,20500,21500,21500,24300,21900,23500,24000,27000,24000,27000,100000,NA,27000,NA
11) JNPT – HINJEWADI – JNPT,15000,15300,14500,17000,18500,21600,18000,19000,20000,24300,19500,21000,100000,27000,23000,26000,21000,24300,20500,21500,21500,26100,21900,23500,24000,30600,24000,27000,100000,NA,27000,NA
12) JNPT –PIRANGUT / PUNE CITY – JNPT,15000,16200,16500,19000,18500,20700,19500,21000,20000,24300,23000,23000,100000,30600,25000,28000,21000,24300,23500,23500,44500,27000,25000,25500,47000,30600,27000,29000,100000,NA,29500,NA
