,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
1) AHMEDNAGAR ,12000,9000,12500,9500,5500,13000,10000,6500,13500,10500,14000,11000,9275,14400,12000,10400,18000,13000,18900,16000,20700,NA,27000,NA,NA,NA,NA,16000,15000,NA,NA,NA,NA,25200,NA
2) ANDHERI ,7200,5500,7560,6500,3500,8100,7500,4000,8650,8500,9000,9500,7000,9900,10500,9500,10800,11500,11700,19000,NA,NA,NA,NA,NA,NA,NA,19000,11500,14400,NA,NA,NA,14400,NA
3) AURANGABAD ,15300,10000,16200,10500,6000,17100,11000,8000,18000,12000,18900,13000,10450,20700,15000,13050,24300,17000,25200,22000,23400,NA,27900,NA,NA,NA,NA,22000,15500,24000,NA,27900,NA,33300,NA
4) BARAMATI ,11250,NA,11700,NA,9000,12000,NA,9500,12500,NA,13000,NA,10500,13500,NA,11500,14400,NA,15300,NA,15300,NA,20700,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,24300,NA
5) BELAPUR ,5400,NA,6300,NA,NA,7200,NA,NA,7650,NA,8100,NA,NA,8650,NA,NA,9000,NA,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA
6) BHAYANDAR ,7200,NA,7560,NA,5000,8100,NA,5750,8650,NA,9000,NA,6500,9900,NA,7500,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,14400,NA,NA,NA,14400,NA
7) BHIWANDI ,7200,6000,7560,6500,5000,8100,7500,6500,8650,8500,9000,9500,7500,9900,10500,9800,10800,11500,11700,14000,NA,NA,NA,NA,NA,NA,NA,14000,11500,14400,NA,NA,NA,14400,NA
8) BHUSAWAL ,11700,NA,12000,NA,NA,12500,NA,NA,12960,NA,13500,NA,NA,14400,NA,NA,20700,NA,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,42300,NA
9) BORKHEDI / NAGPUR ,13500,15000,14400,15500,NA,15300,18000,NA,16200,22000,18000,25000,NA,20700,30000,NA,25200,NA,25200,NA,30600,NA,36000,NA,NA,NA,NA,NA,NA,25200,NA,30600,NA,60300,NA
10) BUTIBORI / NAGPUR ,13500,15000,14400,15500,NA,15300,18000,NA,16200,22000,18000,25000,NA,20700,30000,NA,25200,NA,25200,NA,30600,NA,36000,NA,NA,NA,NA,NA,NA,25200,NA,30600,NA,60300,NA
11) CHAKAN ,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6300,17100,10500,18000,11500,18900,NA,NA,NA,NA,22000,NA,11500,7500,15300,NA,NA,25000,20700,20000
12) CHINCHVAD ,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6250,17100,10500,18000,11500,18900,NA,NA,NA,NA,22000,NA,11500,8000,15300,NA,NA,25000,20700,20000
13) CHIPLUN ,10800,NA,11700,NA,7000,12600,NA,9000,13500,NA,14400,NA,10500,15300,NA,11500,17100,NA,18000,NA,18900,NA,NA,NA,NA,NA,NA,NA,13000,15300,NA,NA,NA,20700,NA
14) DAHANU ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15) DHULE ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16) DIGHI ,NA,5000,NA,5500,NA,NA,6500,NA,NA,7500,NA,8500,NA,NA,9500,NA,NA,10500,NA,11500,NA,NA,NA,NA,NA,22000,NA,11500,NA,NA,NA,NA,25000,NA,20000
17) JALGAON ,11700,NA,12000,NA,NA,12500,15000,NA,12960,17000,13500,18000,NA,14400,19000,NA,20700,22000,21600,24000,NA,NA,NA,NA,NA,NA,NA,24000,NA,25200,NA,NA,NA,42300,NA
18) KALAMBOLI ,5400,5500,6300,6000,NA,7200,6500,NA,7650,7500,8100,8500,NA,8650,9500,NA,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,13500,NA
19) KALYAN ,7200,NA,7560,NA,NA,8100,NA,NA,8650,NA,9000,NA,NA,9900,NA,NA,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,NA,NA,14400,NA
20) KOREGAON ,10800,NA,11700,NA,NA,12600,NA,NA,13500,NA,14400,NA,NA,15300,NA,NA,17100,NA,18000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA,NA,20700,NA
21) KHALAPUR ,NA,5500,NA,6000,NA,NA,6500,NA,NA,7500,NA,8500,NA,NA,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA
22) KOLHAPUR ,NA,NA,NA,NA,NA,NA,12500,NA,NA,13500,NA,14500,NA,NA,15500,NA,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA
23) LATUR ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24) NAGPUR,13500,15000,14400,15500,NA,15300,18000,NA,16200,22000,18000,25000,NA,20700,30000,NA,25200,NA,25200,NA,30600,NA,36000,NA,NA,NA,NA,NA,NA,25200,NA,30600,NA,60300,NA
25) NANDED ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26) NASIK ,10800,5000,11700,5500,5000,12600,6500,5750,13500,7500,14400,8500,8200,15300,9500,8900,17100,11000,18000,16000,18900,NA,NA,NA,NA,NA,NA,16000,14500,15300,NA,NA,NA,20700,NA
27) NAVI MUMBAI ,5400,5500,6300,6000,3000,7200,6500,4000,7650,7500,8100,8500,5175,8650,9500,6500,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,9500,NA,NA,NA,NA,13500,NA
28) NHAVA SHEVA,5400,5500,6300,6000,2000,7200,6500,3500,7650,7500,8100,8500,6000,8650,9500,6850,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,8000,NA,NA,NA,NA,13500,NA
29) PALGHAR,NA,NA,NA,NA,4500,NA,NA,6000,NA,NA,NA,NA,8000,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA
