,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new
JNPT – NASIK – JNPT,15750,20700,16500,17800,NA,17000,18500,22500,18500,21300,NA,23500,22000,27000,20500,23500,NA,25000,24000,30600,20500,26000,NA,28000,23000,30600,23000,26500,NA,26000,23000,33300,23500,27000,NA,28500,24000,36000,23500,32000,NA,32000,NA,NA,23500,NA,NA,35000
JNPT –SINNAR – JNPT,16650,20700,NA,21000,NA,18500,19600,22500,NA,24000,NA,25000,23000,27000,NA,28000,NA,26500,25000,30600,24500,32000,NA,30000,24000,30600,NA,28000,NA,27500,25000,33300,NA,31000,NA,30000,25000,36000,NA,34000,NA,33500,NA,NA,NA,38000,NA,37000
JNPT –MAHAD – JNPT,NA,NA,NA,18000,NA,14500,NA,NA,NA,21000,NA,17000,NA,NA,NA,25000,NA,19500,NA,NA,NA,28000,NA,23000,NA,NA,20000,26000,NA,22500,NA,NA,NA,29000,NA,24000,NA,NA,NA,32000,NA,27000,NA,NA,NA,NA,NA,29800
JNPT –KHOPOLI – JNPT,NA,10800,NA,15000,NA,9000,NA,13500,NA,17000,NA,11500,NA,15300,13500,19000,NA,14500,NA,16200,NA,22000,NA,17000,NA,NA,NA,16000,NA,16000,NA,18000,NA,18000,NA,17000,NA,20700,NA,24000,NA,19500,NA,NA,NA,NA,NA,21500
JNPT – BHIWANDI – JNPT,10000,12600,NA,13000,NA,9000,13000,13500,NA,15000,NA,11000,14800,14400,NA,17000,NA,14000,16000,15300,NA,20000,NA,16500,16000,NA,NA,17000,NA,16500,18500,20700,NA,21000,NA,18000,19500,23400,NA,23000,NA,20300,NA,NA,NA,NA,NA,22500
JNPT – THANE – JNPT,NA,12600,NA,12500,NA,9000,NA,13500,NA,14500,NA,11000,NA,14400,NA,17000,NA,14000,NA,15300,NA,20000,NA,16500,NA,NA,NA,17000,NA,16500,NA,NA,NA,22000,NA,18000,NA,NA,NA,25000,NA,20300,NA,NA,NA,NA,NA,22500
JNPT – TARAPUR – JNPT,NA,15300,NA,20000,NA,15500,NA,20700,NA,22000,NA,18000,NA,22500,NA,26000,NA,21000,NA,24300,NA,28000,NA,25000,NA,NA,NA,28000,NA,21000,NA,25200,NA,32500,NA,23000,NA,27900,NA,34500,NA,25900,NA,NA,NA,NA,NA,28000
JNPT – CHAKAN – JNPT,14600,15300,NA,17000,NA,14500,16500,18900,NA,19000,NA,18000,22000,21600,NA,21000,NA,19500,24000,24300,NA,26000,NA,23000,24000,22500,NA,21500,NA,20500,26000,23400,NA,23500,NA,21900,27000,25200,NA,27000,NA,24000,NA,NA,NA,NA,NA,27000
JNPT – TALEGAON – JNPT,14600,14400,NA,17000,NA,13000,16500,18000,NA,19000,NA,16500,22000,20700,NA,21000,NA,17500,24000,22500,NA,26000,NA,22000,24000,22500,NA,21500,NA,19700,26000,23400,NA,23500,NA,20500,27000,25200,NA,27000,NA,22000,NA,NA,NA,NA,NA,23500
JNPT – BHOSARI / CHINCHWAD / PIMPRI – JNPT,15000,14400,NA,17000,NA,14500,18000,18900,NA,19000,NA,18000,22000,20700,NA,21000,NA,19500,24000,24300,NA,26000,NA,23000,24000,23400,NA,21500,NA,20500,26000,24300,NA,23500,NA,21900,27000,27000,NA,27000,NA,24000,NA,NA,NA,NA,NA,27000
JNPT – HINJEWADI – JNPT,15000,15300,NA,17000,NA,14500,18000,NA,NA,19000,NA,18000,22000,24300,NA,21000,NA,19500,24000,27000,NA,26000,NA,23000,24000,24300,NA,21500,NA,20500,26000,26100,NA,23500,NA,21900,27000,30600,NA,27000,NA,24000,NA,NA,NA,NA,NA,27000
JNPT –PIRANGUT / PUNE CITY – JNPT,15000,16200,NA,19000,NA,16500,19000,20700,NA,21000,NA,19500,23000,24300,NA,23000,NA,23000,25000,30600,NA,28000,NA,25000,25000,24300,NA,23500,NA,23500,27000,27000,NA,25500,NA,25000,28000,30600,NA,29000,NA,27000,NA,NA,NA,NA,NA,29500
