,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
AHMEDNAGAR (IN  MUM),NA,12000,NA,9000,NA,12500,NA,9500,NA,5500,47500,13000,8000,10000,5950,6500,NA,13500, ,10500,NA,14000,9000,11000,9275,9275,10500,14400,11500,12000,10400,10400,11000,18000,13000,13000,NA,18900,NA,16000,NA,20700,NA,NA,NA,27000,NA,NA,NA,NA,NA,NA,15000,NA,15500,16000,14500,15000,NA,NA,NA,NA,NA,NA,NA,NA,24000,25200,NA,NA
ANDHERI (IN  ADE),NA,7200,NA,5500,NA,7560,NA,6500,3500,3500,NA,8100,NA,7500,4000,4000,NA,8650,NA,8500,NA,9000,NA,9500,7000,7000,NA,9900,NA,10500,9500,9500,NA,10800,NA,11500,NA,11700,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19000,11500,11500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
AURANGABAD (IN  AWM),NA,15300,NA,10000,NA,16200,NA,10500,NA,6000,11500,17100,8000,11000,NA,8000,NA,18000,NA,12000,NA,18900,10500,13000,NA,10450,13000,20700,12000,15000,NA,13050,14500,24300,14000,17000,NA,25200,NA,22000,NA,23400,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,16000,NA,18000,22000,NA,15500,NA,24000,NA,NA,NA,27900,NA,NA,26000,33300,35000,NA
BARAMATI (IN  BRT),NA,11250,NA,NA,NA,11700,NA,NA,NA,9000,NA,12000,7500,NA,5500,9500,NA,12500,NA,NA,NA,13000,8500,NA,7900,10500,NA,13500,9500,NA,11050,11500,NA,14400,10500,NA,NA,15300,NA,NA,NA,15300,NA,NA,NA,20700,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,14000,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,26000,NA
BELAPUR (IN  BLP),NA,5400,NA,NA,NA,6300,NA,NA,NA,NA,NA,7200,NA,NA,NA,NA,NA,7650,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,NA,NA,9000,NA,NA,NA,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
BHAYANDAR (IN  BYD),NA,7200,NA,NA,NA,7560,NA,NA,NA,5000,NA,8100,NA,NA,NA,5750,NA,8650,NA,NA,NA,9000,NA,NA,NA,6500,NA,9900,NA,NA,NA,7500,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
BHIWANDI (IN  BWN),NA,7200,NA,6000,NA,7560,NA,6500,5000,5000,5000,8100,4800,7500,6500,6500,NA,8650,NA,8500,NA,9000,5300,9500,7500,7500,7500,9900,6000,10500,9800,9800,8500,10800,7000,11500,NA,11700,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,NA,NA,14000,11500,11500,NA,14400,NA,NA,NA,NA,NA,NA,12000,14400,NA,NA
BHUSAWAL (IN  BSL),NA,11700,NA,NA,NA,12000,NA,NA,NA,NA,NA,12500,NA,NA,NA,NA,NA,12960,NA,NA,NA,13500,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,20700,NA,NA,NA,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,NA,NA,NA,NA,42300,NA,NA
BORKHEDI / NAGPUR (IN  BOK),NA,13500,NA,15000,NA,14400,NA,15500,NA,NA,NA,15300,NA,18000,NA,NA,NA,16200,NA,22000,NA,18000,NA,25000,NA,NA,NA,20700,NA,30000,NA,NA,NA,25200,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,60300,NA,NA
BUTIBORI / NAGPUR (IN NGB),NA,13500,NA,15000,NA,14400,NA,15500,NA,NA,NA,15300,NA,18000,NA,NA,NA,16200,NA,22000,NA,18000,NA,25000,NA,NA,NA,20700,NA,30000,NA,NA,NA,25200,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,60300,NA,NA
