,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL
1) JNPT – NASIK – JNPT,23000,18900,17800,16000,24500,24300,21300,22500,26000,24300,23500,24000,100000,30600,26000,27000,25000,27900,26500,25000,30000,30600,NA,27500,32000,30600,32000,31000,100000,NA,NA,34000
2) JNPT –SINNER – JNPT,21000,19800,21000,17500,23000,24300,24000,24000,25000,25200,28000,25500,100000,30600,32000,29000,28000,30600,28000,26500,32000,30600,31000,29000,34000,33300,34000,32500,100000,NA,38000,36000
3) JNPT –MAHAD – JNPT,19000,18000,18000,13500,21000,20700,21000,16000,23000,24300,25000,18500,100000,25300,28000,22000,22000,27000,26000,21500,32000,30600,29000,23000,34000,30600,32000,26000,100000,NA,NA,28800
4) JNPT –KHOPOLI – JNPT,11000,11700,15000,8000,13000,15300,17000,10500,14500,18000,19000,13500,100000,18000,22000,16000,14000,18000,16000,15000,34500,18000,18000,16000,36500,18900,24000,18500,100000,NA,NA,20500
5) JNPT – BHIWANDI – JNPT,12000,10800,13000,8000,14000,12600,15000,10000,15000,13500,17000,13000,100000,14400,20000,15500,14000,16200,17000,15500,29500,18900,21000,17000,31000,20700,23000,19300,100000,20700,NA,21500
6) JNPT – THANE – JNPT,12000,10800,12500,8000,14000,12600,14500,10000,15000,13500,17000,13000,100000,14400,20000,15500,14000,16200,17000,15500,70000,18900,22000,17000,80000,20700,25000,19300,100000,20700,NA,21500
7) JNPT – TARAPUR – JNPT,18000,18000,20000,14500,19800,20700,22000,17000,21800,23400,26000,20000,100000,25200,28000,24000,20000,27000,28000,20000,39000,27900,32500,22000,42500,30600,34500,24900,100000,NA,NA,27000
8) JNPT – CHAKAN – JNPT,14000,14400,17000,13500,17500,18900,19000,17000,19500,24300,21000,18500,100000,25300,26000,22000,19500,24300,21500,19500,25500,24300,23500,20900,28500,27000,27000,23000,100000,NA,NA,26000
9) JNPT – TALEGAON – JNPT,14000,14400,17000,12000,17500,20450,19000,15500,19500,24300,21000,16500,100000,24300,26000,21000,19500,24300,21500,18700,29500,24300,23500,19500,31000,27000,27000,21000,100000,NA,NA,22500
10) JNPT – BHOSARI / CHINCHWAD / PIMPRI – JNPT,14000,14400,17000,13500,17500,20500,19000,17000,19500,24300,21000,18500,100000,24300,26000,22000,19500,24300,21500,19500,21500,24300,23500,20900,24000,27000,27000,23000,100000,NA,NA,26000
11) JNPT – HINJEWADI – JNPT,15000,14000,17000,13500,18500,20500,19000,17000,20000,24300,21000,18500,100000,24300,26000,22000,21000,24300,21500,19500,21500,24300,23500,20900,24000,27000,27000,23000,100000,NA,NA,26000
12) JNPT –PIRANGUT / PUNE CITY – JNPT,15000,15300,19000,15500,18500,20500,21000,18500,20000,24300,23000,22000,100000,27000,28000,24000,21000,24300,23500,22500,44500,26100,25500,24000,47000,27000,29000,26000,100000,NA,NA,28500
13) JNPT – SHIKRAPUR / SANASWADI / KONDHAPURI – JNPT,16000,15300,20000,15500,21000,20500,22000,18500,20000,24300,24000,22000,100000,27000,29000,24000,21000,24300,24500,22500,30000,26100,26500,24000,31500,27000,30000,26000,100000,NA,NA,28500
14) JNPT – RANJANGAON / SHIRUR – JNPT,16000,18000,21000,17000,21000,22500,23000,21000,20000,27000,25000,24000,100000,27900,30000,26500,21000,25300,25500,24000,30000,26100,27500,25500,34000,27000,31000,28000,100000,NA,NA,30000
