,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
1) AHMEDNAGAR ,15300,9000,16200,9500,6250,17100,10000,7000,18000,10500,18900,11000,9750,20700,12000,10750,NA,13000,NA,16000,27000,NA,27000,NA,NA,NA,NA,16000,15000,NA,NA,NA,NA,30600,NA
2) ANDHERI ,5400,5500,6300,6500,3500,7650,7500,4000,8100,8500,9000,9500,7250,9900,10500,10000,NA,11500,NA,19000,NA,NA,NA,NA,NA,NA,NA,19000,12000,NA,NA,20700,NA,15300,NA
3) AURANGABAD ,11250,10000,11700,10500,7000,12600,11000,8250,13500,12000,14400,13000,10925,15300,15000,14000,NA,17000,NA,22000,22500,NA,30600,NA,NA,NA,NA,22000,21850,NA,NA,NA,NA,40500,NA
4) BARAMATI ,15300,NA,16200,NA,5500,17100,NA,7000,18000,NA,18900,NA,8250,20700,NA,11250,NA,NA,NA,NA,22500,NA,30600,NA,NA,NA,NA,NA,15250,NA,NA,NA,NA,30600,NA
5) BELAPUR ,4500,NA,5400,NA,NA,6300,NA,NA,7200,NA,7650,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA
6) BHAYANDAR ,7200,NA,8100,NA,5000,8650,NA,NA,9000,NA,9900,NA,7000,10800,NA,7750,NA,NA,NA,NA,22500,NA,30600,NA,NA,NA,NA,NA,11000,NA,NA,20700,NA,18000,NA
7) BHIWANDI ,7200,6000,8100,6500,5000,8650,7500,6500,9000,8500,9900,9500,7500,10800,10500,10000,NA,11500,NA,14000,12600,NA,12600,NA,NA,NA,NA,14000,12000,NA,NA,NA,NA,14400,NA
8) BHUSAWAL ,26100,NA,27000,NA,NA,27900,NA,NA,30600,NA,31500,NA,NA,33300,NA,NA,NA,NA,NA,NA,30600,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA
9) BORKHEDI / NAGPUR ,23400,15000,24300,15500,NA,25200,18000,NA,27000,22000,27900,25000,NA,30600,30000,NA,NA,NA,NA,NA,40500,NA,45900,NA,NA,NA,NA,NA,NA,50400,NA,60300,NA,70200,NA
10) BUTIBORI / NAGPUR ,23400,15000,24300,15500,NA,25200,18000,NA,27000,22000,27900,25000,NA,30600,30000,NA,NA,NA,NA,NA,40500,NA,45900,NA,NA,NA,NA,NA,NA,50400,NA,60300,NA,70200,NA
11) CHAKAN ,27000,5000,27900,5500,3500,30600,6500,4250,33300,7500,36000,8500,6250,36900,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
12) CHINCHVAD ,27000,5000,27900,5500,3500,30600,6500,4250,33300,7500,36000,8500,6250,36900,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
13) CHIPLUN ,19800,NA,20700,NA,7000,21600,NA,9000,22500,NA,23400,NA,10500,24300,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA,NA,20700,NA
14) DAHANU ,19800,NA,20700,NA,NA,21600,NA,NA,22500,NA,23400,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18900,NA
15) DHULE ,14400,NA,15300,NA,NA,16200,NA,NA,17100,NA,18000,NA,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA
16) DIGHI ,11260,5000,11700,5500,NA,12600,6500,NA,13500,7500,14400,8500,NA,15300,9500,NA,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,NA,18900,NA,20700,25000,18000,20000
17) JALGAON ,15300,NA,16200,NA,NA,17100,15000,NA,18000,17000,18900,18000,NA,19800,19000,NA,NA,22000,NA,24000,30600,NA,36000,NA,NA,NA,NA,24000,NA,NA,NA,NA,NA,50400,NA
18) KALAMBOLI ,4500,5500,5400,6000,NA,6300,6500,NA,7200,7500,7650,8500,NA,8100,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,20700,NA,15300,NA
19) KALYAN ,7200,NA,8100,NA,NA,8650,NA,NA,9000,NA,9900,NA,NA,10800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA
20) KOREGAON ,11260,NA,11700,NA,NA,12600,NA,NA,13500,NA,14400,NA,NA,15300,NA,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,NA,NA,NA,18900,NA,20700,,18000,NA
21) KHALAPUR ,11260,5500,11700,6000,NA,12600,6500,NA,13500,7500,14400,8500,NA,15300,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,15300,NA
22) KOLHAPUR ,23400,NA,24300,NA,NA,25200,12500,NA,26100,13500,27000,14500,NA,27900,15500,NA,NA,17000,NA,25000,30600,NA,36000,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,40500,NA
23) LATUR ,26100,NA,27000,NA,NA,27900,NA,NA,30600,NA,31500,NA,NA,33300,NA,NA,NA,NA,NA,NA,30600,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA
24) NAGPUR,23400,15000,24300,15500,NA,25200,18000,NA,27000,22000,27900,25000,NA,30600,30000,NA,NA,NA,NA,NA,45900,NA,50400,NA,NA,NA,NA,NA,NA,55000,NA,63900,NA,63900,NA
25) NANDED ,36000,NA,36900,NA,NA,37800,NA,NA,38700,NA,39600,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,NA
26) NASIK ,9900,5000,10800,5500,4250,11700,6500,5000,12600,7500,13500,8500,9000,14400,9500,9750,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,15000,NA,NA,NA,NA,20700,NA
27) NAVI MUMBAI ,4500,5500,5400,6000,3000,6300,6500,4000,7200,7500,7650,8500,5175,8100,9500,6500,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,9500,NA,NA,NA,NA,14400,NA
28) NHAVA SHEVA,4500,5500,5400,6000,2000,6300,6500,3500,7200,7500,7650,8500,6000,8100,9500,6850,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,8500,NA,NA,NA,NA,14400,NA
29) PALGHAR,7200,NA,8100,NA,5500,8650,NA,6000,9000,NA,9900,NA,7750,10800,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,15300,NA
