,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new
JNPT – NASIK – JNPT,NA,18900,NA,17800,15000,16000,NA,24300,NA,21300,18000,22500,NA,24300,NA,23500,24500,24000,NA,30600,NA,26000,24500,27000,NA,27900,NA,26500,22500,25000,NA,30600,NA,NA,27000,27500,NA,30600,NA,32000,27000,31000,NA,NA,NA,NA,27000,34000
JNPT –SINNAR – JNPT,NA,19800,NA,21000,15600,17500,NA,24300,NA,24000,18500,24000,NA,25200,NA,28000,25500,25500,NA,30600,NA,32000,25500,29000,NA,30600,NA,28000,23300,26500,NA,30600,NA,31000,27000,29000,NA,33300,NA,34000,27000,32500,NA,NA,NA,38000,27000,36000
JNPT –MAHAD – JNPT,NA,18000,NA,18000,NA,13500,NA,20700,NA,21000,NA,16000,NA,24300,NA,25000,NA,18500,NA,25300,NA,28000,NA,22000,NA,27000,NA,26000,NA,21500,NA,30600,NA,29000,NA,23000,NA,30600,NA,32000,NA,26000,NA,NA,NA,NA,NA,28800
JNPT –KHOPOLI – JNPT,NA,11700,NA,15000,NA,8000,NA,15300,NA,17000,NA,10500,NA,18000,NA,19000,NA,13500,NA,18000,NA,22000,NA,16000,NA,18000,NA,16000,NA,15000,NA,18000,NA,18000,NA,16000,NA,18900,NA,24000,NA,18500,NA,NA,NA,NA,NA,20500
JNPT – BHIWANDI – JNPT,NA,10800,NA,13000,10000,8000,NA,12600,NA,15000,13000,10000,NA,13500,NA,17000,15000,13000,NA,14400,NA,20000,15000,15500,NA,16200,NA,17000,13500,15500,NA,18900,NA,21000,16500,17000,NA,20700,NA,23000,16500,19300,NA,20700,NA,NA,16500,21500
JNPT – THANE – JNPT,NA,10800,NA,12500,NA,8000,NA,12600,NA,14500,NA,10000,NA,13500,NA,17000,NA,13000,NA,14400,NA,20000,NA,15500,NA,16200,NA,17000,NA,15500,NA,18900,NA,22000,NA,17000,NA,20700,NA,25000,NA,19300,NA,20700,NA,NA,NA,21500
JNPT – TARAPUR – JNPT,NA,18000,NA,20000,13000,14500,NA,20700,NA,22000,16000,17000,NA,23400,NA,26000,20000,20000,NA,25200,NA,28000,20000,24000,NA,27000,NA,28000,20000,20000,NA,27900,NA,32500,25000,22000,NA,30600,NA,34500,25000,24900,NA,NA,NA,NA,25000,27000
JNPT – CHAKAN – JNPT,NA,14400,NA,17000,12500,13500,NA,18900,NA,19000,14900,17000,NA,24300,NA,21000,19000,18500,NA,25300,NA,26000,19000,22000,NA,24300,NA,21500,18000,19500,NA,24300,NA,23500,21000,20900,NA,27000,NA,27000,21000,23000,NA,NA,NA,NA,21000,26000
JNPT – TALEGAON – JNPT,NA,14400,NA,17000,12500,12000,NA,20450,NA,19000,14900,15500,NA,24300,NA,21000,19000,16500,NA,24300,NA,26000,19000,21000,NA,24300,NA,21500,18000,18700,NA,24300,NA,23500,21000,19500,NA,27000,NA,27000,21000,21000,NA,NA,NA,NA,21000,22500
JNPT – BHOSARI / CHINCHWAD / PIMPRI – JNPT,NA,14400,NA,17000,12500,13500,NA,20500,NA,19000,14900,17000,NA,24300,NA,21000,19000,18500,NA,24300,NA,26000,19000,22000,NA,24300,NA,21500,18000,19500,NA,24300,NA,23500,21000,20900,NA,27000,NA,27000,21000,23000,NA,NA,NA,NA,21000,26000
