,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
AHMEDNAGAR (IN  MUM),NA,15300,NA,9000,NA,16200,NA,9500,NA,6250,NA,17100,NA,10000,5950,7000,NA,18000,NA,10500,NA,18900,NA,11000,9275,9750,NA,20700,NA,12000,10400,10750,NA,NA,NA,13000,NA,NA,NA,16000,27000,27000,NA,NA,NA,27000,NA,NA,NA,,NA,NA,NA,NA,NA,16000,14500,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA
ANDHERI (IN  ADE),NA,5400,NA,5500,NA,6300,NA,6500,3500,3500,NA,7650,NA,7500,4000,4000,NA,8100,NA,8500,NA,9000,NA,9500,7000,7250,NA,9900,NA,10500,9500,10000,NA,NA,NA,11500,NA,NA,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,19000,11500,12000,NA,NA,NA,NA,NA,20700,NA,NA,NA,15300,NA,NA
AURANGABAD (IN  AWM),NA,11250,NA,10000,NA,11700,NA,10500,NA,7000,NA,12600,NA,11000,NA,8250,NA,13500,NA,12000,NA,14400,NA,13000,NA,10925,NA,15300,NA,15000,NA,14000,NA,NA,NA,17000,NA,NA,NA,22000,22500,22500,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,22000,NA,21850,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
BARAMATI (IN  BRT),NA,15300,NA,NA,NA,16200,NA,NA,NA,5500,NA,17100,NA,NA,5500,7000,NA,18000,NA,NA,NA,18900,NA,NA,7900,8250,NA,20700,NA,NA,11050,11250,NA,NA,NA,NA,NA,NA,NA,NA,22500,22500,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,14000,15250,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA
BELAPUR (IN  BLP),NA,4500,NA,NA,NA,5400,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,7200,NA,NA,NA,7650,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
BHAYANDAR (IN  BYD),NA,7200,NA,NA,NA,8100,NA,NA,NA,5000,NA,8650,NA,NA,NA, ,NA,9000,NA,NA,NA,9900,NA,NA,NA,7000,NA,10800,NA,NA,NA,7750,NA,NA,NA,NA,NA,NA,NA,NA,22500,22500,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
BHIWANDI (IN  BWN),NA,7200,NA,6000,NA,8100,NA,6500,5000,5000,NA,8650,NA,7500,6500,6500,NA,9000,NA,8500,NA,9900,NA,9500,7500,7500,NA,10800,NA,10500,9800,10000,NA,NA,NA,11500,NA,NA,NA,14000,12600,12600,NA,NA,NA,12600,NA,NA,NA,,NA,NA,NA,NA,NA,14000,11500,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
BHUSAWAL (IN  BSL),NA,26100,NA,NA,NA,27000,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,30600,NA,NA,NA,31500,NA,NA,NA,NA,NA,33300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,30600,NA,NA,NA,36000,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA,NA
BORKHEDI / NAGPUR (IN  BOK),NA,23400,NA,15000,NA,24300,NA,15500,NA,NA,NA,25200,NA,18000,NA,NA,NA,27000,NA,22000,NA,27900,NA,25000,NA,NA,NA,30600,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,40500,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA,NA,NA,60300,NA,NA,NA,70200,NA,NA
BUTIBORI / NAGPUR (IN NGB),NA,23400,NA,15000,NA,24300,NA,15500,NA,NA,NA,25200,NA,18000,NA,NA,NA,27000,NA,22000,NA,27900,NA,25000,NA,NA,NA,30600,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,40500,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA,NA,NA,60300,NA,NA,NA,70200,NA,NA
